1613331000000,48516.52000000,48729.16000000,48479.80000000,48696.75000000,358.21787800,1613331899999,17408838.29317044,18626,171.06071000,8314100.34523422,0
1613331900000,48696.76000000,48919.86000000,48661.71000000,48693.39000000,415.74787900,1613332799999,20288495.65935586,16825,219.66291200,10721667.52520339,0
1613332800000,48693.38000000,48985.71000000,48600.00000000,48847.80000000,586.33708300,1613333699999,28616391.72305343,17315,270.81451700,13219702.25940369,0
1613333700000,48847.80000000,48922.58000000,48753.41000000,48781.44000000,363.59916300,1613334599999,17754503.87251022,14211,179.77774100,8778806.68934379,0
1613334600000,48781.44000000,48998.00000000,48750.00000000,48964.95000000,401.98587400,1613335499999,19646685.13196389,16414,204.65624000,10003218.92507834,0
1613335500000,48964.95000000,49000.00000000,48836.66000000,48929.50000000,423.44298500,1613336399999,20716732.21356082,15173,239.08678700,11698021.05054701,0
1613336400000,48929.50000000,48929.51000000,48755.47000000,48876.66000000,471.13858500,1613337299999,23009424.26379366,13321,220.49628100,10767487.13595025,0
1613337300000,48876.65000000,49058.74000000,48812.48000000,48966.72000000,562.85326400,1613338199999,27572079.73162931,16400,296.48171200,14524264.81603331,0
1613338200000,48966.73000000,48966.73000000,48833.39000000,48921.81000000,328.70915900,1613339099999,16068877.85608331,12270,169.51435200,8287004.92853017,0
1613339100000,48919.33000000,48970.81000000,48801.44000000,48822.66000000,409.65722300,1613339999999,20021239.59344020,12009,197.14730200,9635527.73573600,0
1613340000000,48822.67000000,48905.52000000,48706.53000000,48896.47000000,399.41562400,1613340899999,19502661.93792309,17199,214.77084600,10487113.65828592,0
1613340900000,48896.46000000,49300.00000000,48895.04000000,49211.95000000,677.27931400,1613341799999,33257247.57934659,30878,402.49647600,19765405.18030833,0
1613341800000,49211.95000000,49252.94000000,49081.01000000,49095.68000000,428.08069300,1613342699999,21039473.18096401,20518,245.40978000,12062191.55535667,0
1613342700000,49095.58000000,49172.29000000,49011.78000000,49012.94000000,370.67449500,1613343599999,18199996.27008730,16913,197.88493200,9716727.49237918,0
1613343600000,49012.94000000,49058.94000000,48875.58000000,48978.44000000,437.60002300,1613344499999,21421881.24461339,13638,217.11807400,10628542.08695457,0
1613344500000,48978.45000000,49094.71000000,48888.88000000,48957.64000000,722.33473000,1613345399999,35379314.43124659,15619,372.13996400,18226178.09859715,0
1613345400000,48957.65000000,48965.87000000,48505.79000000,48757.74000000,966.77572200,1613346299999,47073068.14683046,23325,420.00751000,20450579.30339429,0
1613346300000,48757.75000000,48806.12000000,48560.00000000,48577.79000000,561.60414800,1613347199999,27364458.94021952,13629,250.29709400,12195743.47480047,0
1613347200000,48580.47000000,48799.00000000,48428.00000000,48732.38000000,764.11870500,1613348099999,37160626.17185992,24846,349.79397000,17016127.62173921,0
1613348100000,48732.39000000,48759.39000000,48627.70000000,48654.40000000,365.54529000,1613348999999,17793912.02950093,17458,179.95789300,8759325.44356631,0
1613349000000,48654.40000000,49010.92000000,48580.01000000,48872.22000000,536.32374400,1613349899999,26167544.48728311,22390,279.74929600,13650210.96760740,0
1613349900000,48872.22000000,48936.41000000,48749.97000000,48763.62000000,350.45575600,1613350799999,17115820.06693435,17209,161.47868100,7886552.89525956,0
1613350800000,48763.79000000,48816.62000000,48311.31000000,48414.11000000,746.75490300,1613351699999,36238083.30362146,21973,297.01595700,14418134.86138672,0
1613351700000,48414.11000000,48446.43000000,48120.00000000,48233.04000000,1167.01529400,1613352599999,56311072.06857034,30531,467.52228800,22559385.63460940,0
1613352600000,48233.04000000,48245.88000000,47700.00000000,47979.99000000,2144.13086500,1613353499999,102884417.89223693,57804,864.56912400,41494484.18952952,0
1613353500000,47979.99000000,48213.20000000,47925.26000000,48011.44000000,831.39913400,1613354399999,39992485.86375699,26959,372.97110000,17942040.35987744,0
1613354400000,48011.45000000,48213.83000000,47550.00000000,47550.00000000,1222.58397600,1613355299999,58649545.73095075,40220,520.71342300,24996422.20471894,0
1613355300000,47550.00000000,47589.17000000,45570.79000000,46359.53000000,5265.41481300,1613356199999,244933593.19092249,128719,1925.55564600,89538972.69475076,0
1613356200000,46365.20000000,46910.45000000,46020.41000000,46863.84000000,2546.90547400,1613357099999,118354528.72090404,65959,1260.18611000,58556485.01100488,0
1613357100000,46863.83000000,47200.00000000,46746.56000000,46874.02000000,2182.94722800,1613357999999,102464740.95077702,58904,1059.97468500,49741828.21534207,0
1613358000000,46874.01000000,47216.91000000,46540.67000000,46989.98000000,1597.08818400,1613358899999,74872400.70524444,45849,776.43975200,36414278.00267207,0
1613358900000,46989.56000000,47269.09000000,46874.17000000,47230.01000000,883.21602500,1613359799999,41596112.24997081,31422,443.56507300,20892151.81202638,0
1613359800000,47230.01000000,47250.07000000,46800.87000000,46843.21000000,959.67369900,1613360699999,45146386.73409234,32081,440.97200000,20746683.23787105,0
1613360700000,46843.21000000,47133.43000000,46843.21000000,47120.30000000,748.47409500,1613361599999,35201209.77137063,21078,338.80107400,15933793.78503922,0
1613361600000,47120.31000000,47136.02000000,46461.53000000,46480.88000000,1342.63206300,1613362499999,62801596.91434159,32608,577.78302500,27014262.58574268,0
1613362500000,46484.10000000,46880.54000000,46481.18000000,46649.79000000,1003.69176500,1613363399999,46888195.07056590,23325,522.95215700,24427500.74476302,0
1613363400000,46649.79000000,46721.36000000,46174.78000000,46512.56000000,1558.71299400,1613364299999,72394116.59920269,35524,881.40025300,40911292.21119718,0
1613364300000,46512.56000000,46959.44000000,46512.55000000,46866.57000000,1058.69770200,1613365199999,49556304.14500692,25808,573.57874800,26845015.57058788,0
